Scan Time,Symbol,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Scan Mode,Monitoring Status,Monitoring Started,Last 15m Check,Category,Signal,Reason
2026-08-25 23:45:46,KIRLOSENG,2029.3,55.9,59.01,-3.1,2026-08-25 23:00,31.88,41.49,-9.61,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 55.90 > 50, but Hourly RSI has not touched 30 (current 31.88)"
2026-08-25 23:45:10,LAURUSLABS,1866.2,81.85,80.05,1.8,2026-08-25 23:00,73.95,45.77,28.18,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 81.85 > 50; Hourly RSI 73.95; 15m confirmation checked only while monitored
2026-08-25 23:45:47,LLOYDSME,1844.7,58.08,59.58,-1.5,2026-08-25 23:00,36.38,27.1,9.28,YES,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 58.08 > 50, but Hourly RSI has not touched 30 (current 36.38)"
2026-08-25 23:45:12,MCX,3280.0,68.55,66.47,2.09,2026-08-25 23:00,76.93,75.63,1.3,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 68.55 > 50; Hourly RSI 76.93; 15m confirmation checked only while monitored
2026-08-25 23:45:12,MEESHO,206.32,61.41,61.19,0.22,2026-08-25 23:00,62.72,59.9,2.81,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 61.41 > 50; Hourly RSI 62.72; 15m confirmation checked only while monitored
2026-08-25 23:45:47,MTARTECH,6930.0,58.99,60.06,-1.07,2026-08-25 23:00,47.93,33.41,14.52,YES,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 58.99 > 50, but Hourly RSI has not touched 30 (current 47.93)"
2026-08-25 23:45:14,NATIONALUM,397.8,58.85,58.11,0.73,2026-08-25 23:00,54.46,66.75,-12.29,NO,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 58.85 > 50; Hourly RSI 54.46; 15m confirmation checked only while monitored
2026-08-25 23:45:48,NAUKRI,1350.0,70.62,70.63,-0.01,2026-08-25 23:00,47.76,46.94,0.82,YES,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 70.62 > 50, but Hourly RSI has not touched 30 (current 47.76)"
2026-08-25 23:45:49,NETWEB,5273.5,63.61,69.72,-6.12,2026-08-25 23:00,38.2,51.47,-13.27,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 63.61 > 50, but Hourly RSI has not touched 30 (current 38.20)"
2026-08-25 23:45:50,NEULANDLAB,22989.0,75.0,77.34,-2.34,2026-08-25 23:00,40.16,35.14,5.02,YES,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 75.00 > 50, but Hourly RSI has not touched 30 (current 40.16)"
