Scan Time,Symbol,Tag,Universe Sources,Universe Periods,Universe Sectors,Universe Ranks,Favorite Reasons,Favorite Notes,Chartink URL,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Price Confirmation,Completed Hourly Close,Previous Hourly High,Hourly RSI Touched 30,15m Price Confirmation,Completed 15m Close,Previous 15m High,15m Confirmation Candle,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Scan Mode,Monitoring Status,Monitoring Started,Last 15m Check,Category,Signal,Reason
2026-08-25 23:45:14,NATIONALUM,Sector Top 5,Sector Top 5,1M,niftymetal,3.0,,,https://chartink.com/stocks/NATIONALUM.html,NSE_EQ|INE139A01034,397.8,58.85,58.11,0.73,2026-08-25 23:00,54.46,66.75,-12.29,NO,NO,403.3,403.85,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 58.85 > 50; Hourly RSI 54.46; 15m confirmation checked only while monitored
2026-08-25 23:45:22,SAILIFE,YTD Top 50,YTD Top 50,YTD,nifty500,28.0,,,https://chartink.com/stocks/SAILIFE.html,NSE_EQ|INE570L01029,1455.5,80.18,80.51,-0.33,2026-08-25 23:00,54.58,40.78,13.79,YES,NO,1436.8,1439.0,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 80.18 > 50; Hourly RSI 54.58; 15m confirmation checked only while monitored
2026-08-25 23:44:49,APLAPOLLO,Sector Top 5,Sector Top 5,1M,niftymetal,2.0,,,https://chartink.com/stocks/APLAPOLLO.html,NSE_EQ|INE702C01027,2139.3,64.69,64.68,0.01,2026-08-25 23:00,55.36,60.96,-5.6,NO,NO,2145.0,2150.0,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 64.69 > 50; Hourly RSI 55.36; 15m confirmation checked only while monitored
2026-08-25 23:44:53,BHEL,YTD Top 50,YTD Top 50,YTD,nifty500,41.0,,,https://chartink.com/stocks/BHEL.html,NSE_EQ|INE257A01026,417.0,63.41,62.61,0.79,2026-08-25 23:00,55.83,41.94,13.88,YES,NO,411.4,412.4,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 63.41 > 50; Hourly RSI 55.83; 15m confirmation checked only while monitored
2026-08-25 23:45:03,HINDALCO,Sector Top 5,Sector Top 5,1M,niftymetal,5.0,,,https://chartink.com/stocks/HINDALCO.html,NSE_EQ|INE038A01020,1051.05,59.04,57.17,1.87,2026-08-25 23:00,57.4,65.54,-8.14,NO,YES,1058.5,1053.9,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 59.04 > 50; Hourly RSI 57.40; 15m confirmation checked only while monitored
2026-08-25 23:44:49,APARINDS,YTD Top 50,YTD Top 50,YTD,niftylargemidcap250,5.0,,,https://chartink.com/stocks/APARINDS.html,NSE_EQ|INE372A01015,17001.0,72.54,72.04,0.5,2026-08-25 23:00,59.08,46.8,12.29,YES,NO,16720.0,16758.0,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 72.54 > 50; Hourly RSI 59.08; 15m confirmation checked only while monitored
2026-08-25 23:44:41,AARTIIND,YTD Top 50,YTD Top 50,YTD,niftychemicals,43.0,,,https://chartink.com/stocks/AARTIIND.html,NSE_EQ|INE769A01020,538.9,66.04,64.12,1.92,2026-08-25 23:00,59.31,66.48,-7.17,NO,NO,543.05,544.55,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 66.04 > 50; Hourly RSI 59.31; 15m confirmation checked only while monitored
2026-08-25 23:44:50,ASTRAMICRO,Sector Top 5 | YTD Top 50,Sector Top 5 | YTD Top 50,3M | 6M | YTD,niftyindiadefence,4.0 | 3.0 | 12.0,,,https://chartink.com/stocks/ASTRAMICRO.html,NSE_EQ|INE386C01029,1708.0,64.04,62.15,1.89,2026-08-25 23:00,60.63,43.35,17.28,YES,NO,1668.0,1669.0,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 64.04 > 50; Hourly RSI 60.63; 15m confirmation checked only while monitored
2026-08-25 23:45:31,WELSPUNLIV,YTD Top 50,YTD Top 50,YTD,nifty500,40.0,,,https://chartink.com/stocks/WELSPUNLIV.html,NSE_EQ|INE192B01031,190.3,73.84,73.5,0.34,2026-08-25 23:00,60.84,61.38,-0.55,NO,NO,190.45,191.64,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 73.84 > 50; Hourly RSI 60.84; 15m confirmation checked only while monitored
2026-08-25 23:45:19,POLICYBZR,Sector Top 5,Sector Top 5,1M,niftyindiadigital,5.0,,,https://chartink.com/stocks/POLICYBZR.html,NSE_EQ|INE417T01026,1798.3,61.6,61.43,0.17,2026-08-25 23:00,61.02,53.86,7.16,YES,NO,1785.0,1797.1,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 61.60 > 50; Hourly RSI 61.02; 15m confirmation checked only while monitored
